Row ID,Order ID,Order Date,Customer Name,Region,Province,Product Category,Product Sub-Category,Product Name,Order Quantity,Sales,Discount,Profit,Ship Mode,Ship Date,Shipping Cost
22,ORD88815,2015-08-17,Charlie Jones,East,Texas,Office Supplies,Pens,Pens 718,10,2375.73,0.23,-37.79,Second Class,2024-07-12,21.49
23,ORD10135,2017-10-22,Jane Johnson,West,Florida,Office Supplies,Paper,Paper 312,8,793.5,0.21,-5.16,Standard Class,2022-08-01,30.21
24,ORD39498,2022-07-03,Bob Brown,West,Illinois,Office Supplies,Pens,Pens 915,8,368.67,0.2,12.27,First Class,2015-12-21,34.84
25,ORD10844,2024-11-22,David Garcia,North,Florida,Furniture,Chairs,Chairs 519,1,334.24,0.15,48.38,Standard Class,2017-10-10,43.53
26,ORD84448,2017-06-27,John Smith,North,Illinois,Furniture,Bookcases,Bookcases 242,2,409.28,0.3,-52.22,Same Day,2017-05-21,39.18
27,ORD94400,2018-04-24,Alice Williams,Central,Washington,Furniture,Chairs,Chairs 414,9,3368.68,0.05,721.93,First Class,2017-03-24,9.2
28,ORD53600,2019-11-27,Alice Williams,North,Arizona,Office Supplies,Pens,Pens 949,7,728.54,0.07,33.83,First Class,2023-11-25,22.7
29,ORD87576,2023-11-05,Jane Johnson,South,New York,Technology,Monitors,Monitors 798,7,1526.33,0.18,73.19,First Class,2022-08-28,46.66
30,ORD12368,2023-02-25,Olivia Davis,West,Oregon,Office Supplies,Pens,Pens 894,4,939.56,0.36,-99.9,First Class,2020-03-24,19.14
23,ORD10135,2017-10-22,Jane Johnson,West,Florida,Office Supplies,Paper,Paper 312,8,793.5,0.21,-5.16,Standard Class,2022-08-01,30.21
32,ORD29431,2019-12-02,Emma Miller,Central,Arizona,Furniture,Bookcases,Bookcases 335,4,1346.12,0.21,-10.62,Standard Class,2017-11-04,45.05
33,ORD23417,2016-07-01,Sophia Rodriguez,North,Arizona,Office Supplies,Binders,Binders 756,8,1244.24,0.13,176.18,Second Class,2021-08-27,26.68
34,ORD34992,2017-04-24,Emma Miller,South,Oregon,Technology,Laptops,Laptops 134,4,1435.24,0.37,-147.83,Second Class,2021-07-19,26.5
35,ORD81134,2019-05-23,Jane Johnson,Central,Arizona,Furniture,Tables,Tables 380,4,304.5,0.48,-98.55,Second Class,2018-08-27,45.97
36,ORD52988,2015-03-20,Emma Miller,East,Florida,Technology,Laptops,Laptops 686,1,287.76,0.22,18.48,Second Class,2019-06-20,17.38
37,ORD25589,2020-01-06,Bob Brown,North,Arizona,Technology,Monitors,Monitors 805,1,106.52,0.22,1.5,Standard Class,2022-04-06,48.14
38,ORD98290,2019-06-02,Jane Johnson,North,California,Furniture,Bookcases,Bookcases 214,6,1863.83,0.21,8.83,First Class,2020-11-23,34.31
39,ORD46363,2016-02-20,Bob Brown,West,Texas,Office Supplies,Pens,Pens 563,6,218.94,0.16,-2.45,Second Class,2018-03-20,45.07
40,ORD76297,2016-03-19,Charlie Jones,South,Washington,Office Supplies,Pens,Pens 638,8,253.94,0.22,3.71,Second Class,2019-12-05,14.13
41,ORD70858,2020-01-14,Sophia Rodriguez,West,California,,Monitors,Monitors 344,5,1433.98,0.39,-244.06,Standard Class,2015-03-22,31.88
42,ORD94280,2017-08-14,Emma Miller,Central,California,Office Supplies,Binders,Binders 568,3,1230.01,0.34,-98.93,Standard Class,2022-11-03,12.93
43,ORD92095,2023-11-01,Emma Miller,East,Washington,Office Supplies,Paper,Paper 243,9,3413.04,0.48,-731.21,Same Day,2017-03-26,16.71
44,ORD69549,2021-09-13,Liam Martinez,North,California,Office Supplies,Paper,Paper 414,8,622.57,0.21,41.31,Same Day,2022-08-17,9.8
45,ORD97207,2021-04-27,John Smith,North,Washington,Technology,Printers,Printers 102,6,2272.17,0.35,-442.74,First Class,2022-08-28,25.16
46,ORD14445,2015-10-28,John Smith,North,Illinois,Technology,Laptops,Laptops 972,4,180.79,0.13,24.12,First Class,2019-11-06,16.34
47,ORD88234,2015-06-10,Jane Johnson,West,Illinois,Office Supplies,Paper,Paper 678,9,2585.67,0.38,-386.9,Second Class,2020-09-09,39.32
48,ORD30176,2018-03-08,Alice Williams,East,New York,Furniture,Tables,Tables 770,8,729.57,0.1,144.11,Same Day,2022-10-13,5.83
49,ORD19438,2023-08-09,Alice Williams,South,Oregon,Furniture,Bookcases,Bookcases 790,2,47.77,0.42,-14.16,First Class,2015-06-03,19.83
50,ORD53948,2017-10-06,David Garcia,West,Arizona,Office Supplies,Binders,Binders 458,9,3788.01,0.25,-361.09,First Class,2022-07-14,12.24
51,ORD97405,2018-04-11,Emma Miller,South,Washington,Technology,Monitors,Monitors 656,2,204.53,0.11,32.45,Same Day,2017-07-20,13.04
52,ORD92007,2024-02-16,Olivia Davis,South,Texas,Office Supplies,Paper,Paper 672,10,564.06,0.46,-128.08,Second Class,2015-10-02,36.47
53,ORD14757,2024-01-09,Jane Johnson,Central,Florida,Furniture,Bookcases,Bookcases 207,7,2589.91,0.12,403.92,Same Day,2015-09-16,8.86
54,ORD25528,2022-12-15,Olivia Davis,South,Oregon,Technology,Printers,Printers 641,10,1472.43,0.42,-457.79,First Class,2022-07-05,7.87
55,ORD19005,2021-04-19,Alice Williams,Central,Illinois,Office Supplies,Binders,Binders 526,9,1738.35,0.07,368.69,Second Class,2024-10-21,21.03
56,ORD84177,2019-09-04,Alice Williams,East,Illinois,Office Supplies,Binders,Binders 219,9,1386.37,0.2,-19.18,Same Day,2015-06-13,43.18
57,ORD94031,2021-09-03,Liam Martinez,South,Florida,Office Supplies,Binders,Binders 299,8,797.69,0.04,185.56,Standard Class,2021-04-18,41.93
58,ORD85174,2021-04-25,Olivia Davis,North,Washington,Office Supplies,Paper,Paper 259,10,1195.58,0.4,-349.86,Second Class,2016-07-09,10.09
59,ORD59371,2020-03-13,Liam Martinez,South,Arizona,Technology,Monitors,Monitors 181,10,4521.94,0.22,-74.22,First Class,2018-02-06,23.23
60,ORD44690,2024-07-19,Liam Martinez,East,Florida,Furniture,Tables,Tables 991,4,955.92,0.22,19.6,First Class,2017-09-14,10.31
61,ORD83414,2023-09-13,Alice Williams,Central,Illinois,Furniture,Tables,Tables 376,2,288.36,0.31,-23.64,Second Class,2017-08-19,22.41
62,ORD76825,2017-06-06,David Garcia,Central,Texas,Office Supplies,Paper,Paper 962,7,3117.23,0.12,487.83,Standard Class,2016-04-28,5.19
63,ORD61384,2019-05-17,David Garcia,East,California,Furniture,Tables,Tables 912,6,1782.81,0.36,-287.94,Second Class,2019-09-24,39.44
64,ORD94459,2022-04-22,John Smith,South,California,Office Supplies,Pens,Pens 339,2,29.82,0.18,2.45,Second Class,2023-04-27,15.26
65,ORD44920,2023-07-21,Bob Brown,North,Washington,Office Supplies,Binders,Binders 955,6,2538.61,0.32,-450.25,Standard Class,2023-10-01,7.02
66,ORD24551,2015-05-03,Alice Williams,West,Washington,Furniture,Bookcases,Bookcases 649,8,1790.78,0.16,145.5,First Class,2018-06-21,37.5
67,ORD47054,2018-09-03,John Smith,East,Arizona,Furniture,Tables,Tables 868,3,758.89,0.31,-68.42,Second Class,2016-05-11,38.89
68,ORD82206,2015-01-14,Olivia Davis,Central,Arizona,Technology,Laptops,Laptops 232,8,2893.09,0.16,20.3,First Class,2022-05-07,26.55
16,ORD49627,2020-09-15,Jane Johnson,West,New York,Furniture,Tables,Tables 674,7,731.81,0.44,-222.86,Same Day,2022-08-24,35.67
70,ORD84939,2022-01-17,Olivia Davis,North,California,Technology,Monitors,Monitors 830,8,3827.66,0.39,-484.67,Same Day,2022-06-16,13.16
71,ORD45523,2016-09-21,Olivia Davis,Central,Oregon,Technology,Monitors,Monitors 478,4,1928.23,0.2,-177.88,First Class,2021-04-02,35.8
72,ORD61755,2021-08-20,John Smith,South,Illinois,Office Supplies,Binders,Binders 867,1,323.81,0.23,21.91,Same Day,2017-05-23,11.1
73,ORD65435,2023-07-26,Olivia Davis,Central,Texas,Technology,Monitors,Monitors 265,2,441.14,0.13,35.56,Standard Class,2015-09-18,10.92
74,ORD44771,2023-03-22,Emma Miller,Central,Oregon,Furniture,Bookcases,Bookcases 321,3,228.99,0.11,10.3,Same Day,2018-05-20,16.22
75,ORD70525,2020-01-28,Bob Brown,North,Washington,Technology,Printers,Printers 286,3,1429.73,0.35,-142.77,First Class,2024-11-01,39.81
76,ORD70730,2016-09-23,Jane Johnson,South,Washington,Office Supplies,Pens,Pens 147,4,562.3,0.23,20.38,Second Class,2022-08-22,7.34
77,ORD29548,2023-09-27,Alice Williams,Central,Illinois,Furniture,Bookcases,Bookcases 771,7,2630.57,0.16,223.41,Same Day,2017-05-02,47.94
78,ORD92812,2017-02-02,Liam Martinez,West,Arizona,Furniture,Chairs,Chairs 178,3,201.81,0.08,9.1,Second Class,2022-04-16,39.96
79,ORD39729,2017-03-07,Emma Miller,West,Arizona,Office Supplies,Binders,Binders 997,10,1805.59,0.32,-365.87,Second Class,2024-01-09,19.78
80,ORD22304,2020-09-08,David Garcia,East,Oregon,Furniture,Tables,Tables 343,1,161.34,0.37,-43.22,Same Day,2018-10-08,22.52
81,ORD48418,2023-11-02,David Garcia,Central,California,Furniture,Chairs,Chairs 890,8,1127.9,0.35,-228.66,Same Day,2020-08-04,36.83
82,ORD73958,2018-04-21,Sophia Rodriguez,East,Washington,Office Supplies,Pens,Pens 995,8,286.14,0.47,-59.18,First Class,2015-12-24,20.72
83,ORD25461,2018-03-13,Charlie Jones,Central,Illinois,Office Supplies,Binders,Binders 456,2,554.22,0.38,-139.76,Standard Class,2015-11-25,14.32
84,ORD61699,2021-03-12,Bob Brown,West,Oregon,Technology,Monitors,Monitors 790,1,259.83,0.23,12.47,Standard Class,2016-10-05,35.16
85,ORD63462,2016-11-17,David Garcia,North,Oregon,Furniture,Bookcases,Bookcases 963,7,2801.92,0.23,180.18,Second Class,2017-10-04,18.5
86,ORD92326,2018-08-20,Bob Brown,North,California,Office Supplies,Binders,Binders 186,2,215.68,0.29,-40.59,First Class,2023-05-27,39.97
87,ORD28442,2024-05-27,Bob Brown,West,Washington,Office Supplies,Paper,Paper 244,1,131.91,0.0,21.91,First Class,2019-05-03,31.37
36,ORD52988,2015-03-20,Emma Miller,East,Florida,Technology,Laptops,Laptops 686,1,287.76,0.22,18.48,Second Class,2019-06-20,17.38
89,ORD82744,2023-03-05,John Smith,South,New York,Technology,Printers,Printers 559,6,814.2,0.15,46.6,Same Day,2023-05-20,11.56
90,ORD87570,2024-09-06,David Garcia,East,Texas,Office Supplies,Binders,Binders 682,4,1657.0,0.36,-137.82,Standard Class,2017-02-26,5.73
91,ORD25126,2024-11-17,Bob Brown,North,Florida,Office Supplies,Binders,Binders 234,2,62.61,0.44,-15.34,Standard Class,2023-05-23,46.59
92,ORD20702,2023-11-10,David Garcia,Easty,Florida,Furniture,Chairs,Chairs 885,5,428.45,0.36,-77.78,First Class,2018-05-24,40.53
93,ORD44502,2022-08-14,Emma Miller,West,California,Technology,Printers,Printers 623,5,547.81,0.46,-129.01,First Class,2015-12-14,13.42
94,ORD29815,2023-04-06,Jane Johnson,Central,California,Furniture,Bookcases,Bookcases 691,1,161.76,0.46,-33.44,Standard Class,2017-10-05,22.14
95,ORD61159,2015-01-09,Emma Miller,South,Oregon,Technology,Printers,Printers 800,8,1604.96,0.01,232.62,Standard Class,2015-01-12,32.09
96,ORD85680,2019-02-04,Charlie Jones,West,Texas,Furniture,Chairs,Chairs 972,5,439.66,0.02,56.67,Same Day,2022-01-04,29.45
97,ORD20614,2018-03-05,Jane Johnson,North,Texas,Furniture,Tables,Tables 551,7,2371.7,0.4,-323.27,Same Day,2024-07-05,18.61
98,ORD89055,2018-04-23,Charlie Jones,South,New York,Office Supplies,Pens,Pens 464,9,1666.58,0.04,359.47,Same Day,2017-08-26,21.57
99,ORD75545,2019-02-08,Charlie Jones,East,California,Office Supplies,Pens,Pens 842,3,816.85,0.44,-194.18,First Class,2017-10-11,38.45
100,ORD20480,2018-03-12,Sophia Rodriguez,West,New York,Furniture,Chairs,Chairs 190,8,600.7,0.47,-120.25,First Class,2024-11-06,33.45
101,ORD96891,2024-04-13,Olivia Davis,East,Arizona,Furniture,Bookcases,Bookcases 371,4,1843.91,0.39,-183.02,Standard Class,2015-02-12,45.78
102,ORD95056,2015-02-12,John Smith,North,California,Technology,Printers,Printers 794,9,3283.38,0.11,106.39,Second Class,2021-01-02,18.84
103,ORD49182,2017-09-20,Sophia Rodriguez,South,Texas,Furniture,Chairs,Chairs 499,7,2996.66,0.15,290.92,Second Class,2017-08-10,10.02
104,ORD72135,2015-01-14,John Smith,East,Arizona,Furniture,Tables,Tables 317,10,3164.39,0.33,-335.11,Same Day,2015-04-10,33.58
105,ORD24840,2017-04-19,David Garcia,North,Oregon,Technology,Laptops,Laptops 706,1,86.02,0.16,10.24,Standard Class,2024-03-14,41.17
106,ORD72955,202-15-30,Charlie Jones,East,New York,Furniture,Chairs,Chairs 820,6,100.39,0.3,-12.93,Same Day,2020-04-26,22.29
107,ORD65959,2021-09-01,Jane Johnson,Central,Illinois,Furniture,Bookcases,Bookcases 987,3,402.37,0.44,-119.6,First Class,2020-08-26,38.08
108,ORD32236,2023-10-09,David Garcia,Central,Florida,Furniture,Tables,Tables 533,5,2018.78,0.5,-566.1,Second Class,2024-12-22,39.47
109,ORD40145,2024-08-15,Sophia Rodriguez,East,Oregon,Technology,Printers,Printers 424,9,1444.34,0.17,163.98,Second Class,2022-12-26,8.79
110,ORD38378,2021-04-12,Bob Brown,West,California,Technology,Printers,Printers 555,7,2528.68,0.44,-707.23,Second Class,2017-05-09,39.03
111,ORD39708,2020-11-26,Emma Miller,West,Washington,Technology,Laptops,Laptops 272,9,3022.05,0.02,719.33,Same Day,2024-05-19,5.84
112,ORD22720,2018-07-07,Jane Johnson,North,Arizona,Furniture,Bookcases,Bookcases 902,1,130.67,0.37,-21.98,Second Class,2016-10-01,11.09
113,ORD83674,2019-02-12,Jane Johnson,North,Texas,Technology,Laptops,Laptops 277,1,47.02,0.48,-9.67,Second Class,2022-01-28,48.4
114,ORD87333,2015-05-14,Alice Williams,North,Florida,Technology,Monitors,Monitors 354,2,659.0,0.25,-71.68,First Class,2018-11-24,22.82
115,ORD67847,2023-05-06,John Smith,South,Washington,Furniture,Bookcases,Bookcases 653,10,3127.13,0.08,268.7,Standard Class,2024-09-11,36.63
116,ORD67993,2018-05-17,Bob Brown,East,California,Office Supplies,Binders,Binders 743,5,2099.5,0.28,-240.53,Second Class,2016-09-07,28.32
117,ORD83733,2022-02-27,Charlie Jones,South,Texas,Office Supplies,Binders,Binders 449,2,275.4,0.1,50.48,Same Day,2022-01-05,7.58
118,ORD10298,2016-02-16,Emma Miller,West,Oregon,Furniture,Chairs,Chairs 735,5,799.06,0.14,84.81,Second Class,2023-08-09,44.09
119,ORD88750,2023-08-06,Charlie Jones,South,Arizona,Office Supplies,Pens,Pens 366,1,290.98,0.18,4.27,First Class,2023-08-12,41.65
120,ORD30079,2019-08-03,Bob Brown,Central,California,Furniture,Tables,Tables 313,6,2731.94,0.2,-233.33,Second Class,2016-06-28,23.79
121,ORD27782,2016-03-05,Alice Williams,Central,Arizona,Technology,Monitors,Monitors 674,8,1543.14,0.22,-80.52,Standard Class,2015-02-08,38.39
122,ORD94215,2023-06-27,John Smith,South,Washington,Furniture,Chairs,Chairs 397,7,402.9,0.47,-102.78,Second Class,2015-05-24,7.95
123,ORD56994,2020-03-13,Sophia Rodriguez,Central,Washington,Technology,Printers,Printers 513,4,1227.02,0.21,-99.76,First Class,2016-03-10,10.58
124,ORD91404,2022-09-03,David Garcia,Central,Arizona,Furniture,Bookcases,Bookcases 805,9,2741.33,0.12,3.47,Same Day,2023-12-27,25.94
125,ORD22538,2024-05-22,Charlie Jones,West,Texas,Technology,Laptops,Laptops 123,8,3955.09,0.1,418.33,Same Day,2018-10-23,28.5
126,ORD90385,2021-07-07,Liam Martinez,South,Florida,Technology,Printers,Printers 704,10,2969.16,0.35,-669.05,First Class,2024-10-20,30.55
127,ORD56504,2022-12-20,John Smith,West,California,Office Supplies,Paper,Paper 285,2,570.69,0.07,127.18,Standard Class,2023-11-11,7.19
128,ORD79113,2015-10-17,David Garcia,Central,Illinois,Technology,Printers,Printers 803,5,1014.28,0.22,-81.24,Standard Class,2017-12-22,19.24
129,ORD61327,2016-11-15,Olivia Davis,Central,Illinois,Furniture,Chairs,Chairs 469,9,1792.57,0.16,217.03,Same Day,2015-05-18,34.54
130,ORD31218,2017-11-17,Olivia Davis,West,New York,Technology,Monitors,Monitors 931,7,1122.98,0.09,188.31,Standard Class,2016-10-06,35.86
131,ORD50504,2023-12-07,Liam Martinez,East,California,Office Supplies,Binders,Binders 576,10,2602.6,0.23,4.9,First Class,2024-04-14,24.04
132,ORD78107,2016-01-08,Bob Brown,Central,Washington,Furniture,Chairs,Chairs 407,6,1428.74,0.23,46.56,First Class,2020-01-03,34.69
133,ORD48059,2016-06-19,Emma Miller,North,New York,Technology,Printers,Printers 375,8,2198.97,0.25,67.8,Same Day,2016-04-09,27.88
134,ORD95318,2022-03-20,Jane Johnson,East,Texas,Office Supplies,Binders,Binders 817,3,543.75,0.34,-92.63,Same Day,2017-10-10,28.02
135,ORD64174,2016-03-16,Olivia Davis,West,Arizona,Furniture,Bookcases,Bookcases 405,3,1437.05,0.25,-100.94,Same Day,2020-03-20,12.34
136,ORD42197,2018-07-10,Charlie Jones,North,Washington,Furniture,Tables,Tables 378,10,4061.21,0.41,-948.65,First Class,2020-11-24,20.03
137,ORD29325,2024-11-09,Alice Williams,North,California,Furniture,Tables,Tables 993,7,3373.6,0.22,152.73,First Class,2018-09-13,40.73
138,ORD98202,2019-03-23,Jane Johnson,North,California,Technology,Monitors,Monitors 862,3,904.67,0.09,98.69,Same Day,2024-01-08,48.1
76,ORD70730,2016-09-23,Jane Johnson,South,Washington,Office Supplies,Pens,Pens 147,4,562.3,0.23,20.38,Second Class,2022-08-22,7.34
140,ORD23125,2020-09-08,Sophia Rodriguez,South,Oregon,Technology,Monitors,Monitors 502,3,76.16,0.08,12.05,Second Class,2016-04-10,30.4
141,ORD92845,2022-01-26,Jane Johnson,North,Texas,Technology,Laptops,Laptops 650,4,307.62,0.11,46.47,Second Class,2018-02-10,23.97
142,ORD21579,2024-01-20,Bob Brown,North,Florida,Office Supplies,Binders,Binders 847,2,425.43,0.29,-74.2,Second Class,2018-05-14,22.15
14,ORD23089,2018-09-07,Alice Williams,West,California,Office Supplies,Paper,Paper 551,1,51.74,0.09,8.54,First Class,2017-08-19,19.89
144,ORD35121,2023-12-27,David Garcia,West,New York,Furniture,Chairs,Chairs 890,1,270.08,0.23,-13.03,Standard Class,2022-03-11,19.63
145,ORD58429,2017-09-13,Emma Miller,North,Arizona,Furniture,Tables,Tables 778,9,1391.88,0.04,111.18,First Class,2017-02-15,19.83
146,ORD31919,2021-10-01,Alice Williams,Central,Arizona,Technology,Printers,Printers 402,3,881.02,0.42,-247.32,Second Class,2023-09-05,20.49
83,ORD25461,2018-03-13,Charlie Jones,Central,Illinois,Office Supplies,Binders,Binders 456,2,554.22,0.38,-139.76,Standard Class,2015-11-25,14.32
148,ORD82742,2021-03-25,Charlie Jones,Northz,New York,Technology,Monitors,Monitors 431,8,1236.53,0.44,-216.32,Standard Class,2020-11-09,11.87
149,ORD85634,2022-02-11,Olivia Davis,East,Arizona,Furniture,Bookcases,Bookcases 895,1,11.34,0.36,-1.54,Second Class,2017-05-23,6.67
150,ORD39159,2016-09-19,Bob Brown,North,Arizona,Office Supplies,Binders,Binders 148,2,150.96,0.22,1.97,Same Day,2017-06-23,44.49
151,ORD31326,2022-03-28,Liam Martinez,Central,Washington,Furniture,Chairs,Chairs 385,7,585.4,0.25,22.21,Second Class,2021-08-10,27.09
152,ORD27988,2019-04-22,Charlie Jones,South,Oregon,Office Supplies,Paper,Paper 832,6,1383.22,0.37,-143.39,Second Class,2018-07-06,14.18
153,ORD76478,2022-12-03,David Garcia,West,Washington,Office Supplies,Paper,Paper 288,8,1142.85,0.01,155.3,First Class,2023-10-13,24.11
154,ORD92252,2020-12-23,Alice Williams,West,Texas,Office Supplies,Paper,Paper 261,10,3274.01,0.35,-362.55,Second Class,2015-01-27,15.07
155,ORD29649,2019-01-09,John Smith,South,Washington,Furniture,Chairs,Chairs 336,1,102.49,0.04,25.44,Same Day,2017-04-24,48.94
156,ORD67814,2016-10-20,Liam Martinez,Westz,Illinois,Furniture,Chairs,Chairs 845,5,1233.91,0.4,-144.67,Second Class,2019-06-10,25.66
157,ORD45910,2023-05-20,Sophia Rodriguez,West,Texas,Furniture,Chairs,Chairs 240,1,239.03,0.16,24.07,Second Class,2018-03-20,41.01
158,ORD70123,2018-09-08,Alice Williams,South,Texas,Furniture,Tables,Tables 554,7,2949.41,0.07,528.94,First Class,2015-07-05,30.92
159,ORD70681,2018-11-07,Olivia Davis,East,Washington,Furniture,Tables,Tables 915,2,747.16,0.2,27.98,First Class,2018-06-27,44.93
160,ORD39595,2020-04-23,Olivia Davis,East,Illinois,Furniture,Bookcases,Bookcases 266,3,1099.77,0.33,-67.57,First Class,2015-08-02,6.02
161,ORD23348,2018-11-23,Liam Martinez,East,Washington,Technology,Monitors,Monitors 910,3,703.53,0.1,117.54,Standard Class,2017-10-25,37.72
162,ORD37449,2017-05-25,Liam Martinez,West,California,Technology,Laptops,Laptops 560,5,924.77,0.02,179.86,Standard Class,2024-07-12,5.93
66,ORD24551,2015-05-03,Alice Williams,West,Washington,Furniture,Bookcases,Bookcases 649,8,1790.78,0.16,145.5,First Class,2018-06-21,37.5
164,ORD84943,2017-11-03,Olivia Davis,West,Oregon,Technology,Printers,Printers 640,5,261.83,0.13,2.23,Standard Class,2022-10-07,7.51
165,ORD79573,2018-11-05,Jane Johnson,East,Illinois,Office Supplies,Pens,Pens 950,7,3074.34,0.35,-335.46,First Class,2018-04-19,7.61
166,ORD13427,2024-05-16,Sophia Rodriguez,South,Oregon,Furniture,Tables,Tables 426,6,1992.82,0.22,-76.9,Standard Class,2022-12-19,46.96
167,ORD39868,2021-08-13,Liam Martinez,West,Florida,Furniture,Chairs,Chairs 277,5,543.98,0.19,-4.7,Same Day,2016-10-07,28.65
168,ORD73514,2024-08-25,Charlie Jones,West,Oregon,Office Supplies,Pens,Pens 445,10,1529.35,0.47,-374.53,Same Day,2017-07-15,18.43
169,ORD51233,2016-08-26,Emma Miller,West,Illinois,Office Supplies,Binders,Binders 128,5,2399.13,0.29,-441.73,Same Day,2024-04-10,24.31
170,ORD44777,2024-06-19,John Smith,West,Illinois,Furniture,Tables,Tables 508,3,280.52,0.47,-53.12,Same Day,2020-07-21,9.37
171,ORD13962,2024-10-06,Alice Williams,North,Washington,Technology,Laptops,Laptops 811,9,2769.87,0.26,-70.82,Standard Class,2020-07-25,39.2
172,ORD98620,2019-02-04,Liam Martinez,North,Arizona,Technology,Laptops,Laptops 298,4,500.13,0.01,76.58,Second Class,2023-12-01,37.71
173,ORD20787,2021-06-20,Charlie Jones,West,Oregon,Technology,Monitors,Monitors 602,8,1826.18,0.07,140.5,First Class,2020-12-17,9.41
174,ORD57608,2022-03-05,Alice Williams,West,Florida,Furniture,Chairs,Chairs 466,2,34.26,0.22,2.27,First Class,2021-02-24,19.12
175,ORD75855,2024-05-01,Liam Martinez,South,California,Technology,Laptops,Laptops 501,1,298.97,0.03,63.49,Standard Class,2015-06-10,17.17
176,ORD93860,2017-04-21,Sophia Rodriguez,West,California,Technology,Laptops,Laptops 638,5,358.51,0.08,73.08,Same Day,2020-05-05,9.18
177,ORD28258,2023-02-17,Charlie Jones,West,Texas,Technology,Monitors,Monitors 640,4,402.05,0.28,-34.87,Second Class,2022-01-28,43.58
178,ORD44276,2022-12-21,Olivia Davis,East,Texas,Technology,Monitors,Monitors 706,3,462.0,0.48,-98.25,Second Class,2024-05-12,31.67
179,ORD10262,2022-09-18,Alice Williams,East,Illinois,Furniture,Bookcases,Bookcases 343,4,1973.45,0.41,-525.63,Same Day,2022-11-27,33.51
180,ORD54321,2021-05-22,Alice Williams,Central,New York,Furniture,Tables,Tables 394,10,135.77,0.12,18.01,Standard Class,2020-06-23,24.86
181,ORD66152,2018-11-18,Sophia Rodriguez,North,New York,Furniture,Chairs,Chairs 377,9,4326.88,0.12,706.55,Second Class,2019-02-23,19.4
